relative_compactness,surface_area,wall_area,roof_area,overall_height,glazing_area,cooling_load,surface_wall_ratio,height_surface_interaction,log_cooling_load,high_glazing,orientation_3,orientation_4,orientation_5,glazing_area_dist_1,glazing_area_dist_2,glazing_area_dist_3,glazing_area_dist_4,glazing_area_dist_5
0.98,514.5,294.0,110.25,7.0,0.0,21.33,1.75,3601.5,3.1059310658520665,0,False,False,False,False,False,False,False,False
0.98,514.5,294.0,110.25,7.0,0.0,21.33,1.75,3601.5,3.1059310658520665,0,True,False,False,False,False,False,False,False
0.98,514.5,294.0,110.25,7.0,0.0,21.33,1.75,3601.5,3.1059310658520665,0,False,True,False,False,False,False,False,False
0.98,514.5,294.0,110.25,7.0,0.0,21.33,1.75,3601.5,3.1059310658520665,0,False,False,True,False,False,False,False,False
0.9,563.5,318.5,122.5,7.0,0.0,28.28,1.7692307692307692,3944.5,3.3769046890931107,0,False,False,False,False,False,False,False,False
0.9,563.5,318.5,122.5,7.0,0.0,25.38,1.7692307692307692,3944.5,3.2726061472891685,0,True,False,False,False,False,False,False,False
0.9,563.5,318.5,122.5,7.0,0.0,25.16,1.7692307692307692,3944.5,3.264231526588998,0,False,True,False,False,False,False,False,False
0.9,563.5,318.5,122.5,7.0,0.0,29.6,1.7692307692307692,3944.5,3.4210000089583352,0,False,False,True,False,False,False,False,False
0.86,588.0,294.0,147.0,7.0,0.0,27.3,2.0,4116.0,3.342861804649192,0,False,False,False,False,False,False,False,False
0.86,588.0,294.0,147.0,7.0,0.0,21.97,2.0,4116.0,3.134189016701007,0,True,False,False,False,False,False,False,False
0.86,588.0,294.0,147.0,7.0,0.0,23.49,2.0,4116.0,3.1982648709640764,0,False,True,False,False,False,False,False,False
0.86,588.0,294.0,147.0,7.0,0.0,27.87,2.0,4116.0,3.3628029936748436,0,False,False,True,False,False,False,False,False
0.82,612.5,318.5,147.0,7.0,0.0,23.77,1.9230769230769231,4287.5,3.209633243501268,0,False,False,False,False,False,False,False,False
0.82,612.5,318.5,147.0,7.0,0.0,21.46,1.9230769230769231,4287.5,3.1117359493102974,0,True,False,False,False,False,False,False,False
0.82,612.5,318.5,147.0,7.0,0.0,21.16,1.9230769230769231,4287.5,3.098288861879083,0,False,True,False,False,False,False,False,False
0.82,612.5,318.5,147.0,7.0,0.0,24.93,1.9230769230769231,4287.5,3.255400599550573,0,False,False,True,False,False,False,False,False
0.79,637.0,343.0,147.0,7.0,0.0,37.73,1.8571428571428572,4459.0,3.6566144935266607,0,False,False,False,False,False,False,False,False
0.79,637.0,343.0,147.0,7.0,0.0,31.27,1.8571428571428572,4459.0,3.4741380060638702,0,True,False,False,False,False,False,False,False
